Cod_setor,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,resp_homem,resp_mulher,prop_res_mulher,prop_res_homem
250010605000001,54,60,62,35,20,18,28,5,1,0,0,0,0,49,30,11,4,1,0,41,25,26,16,14,9,26,25,10,5,0,1,0,16,6,1,1,0,0,378,222,0.37,0.63
250010605000002,13,27,21,9,3,5,11,0,0,0,0,0,0,13,21,5,2,1,0,13,18,5,3,4,6,10,6,7,1,0,0,0,7,1,1,0,0,0,131,82,0.38497652582159625,0.6150234741784038
250010605000003,36,45,33,18,7,4,13,2,1,0,0,0,0,34,17,6,1,1,0,50,29,13,12,7,1,27,28,6,2,0,0,0,22,5,0,0,0,0,218,202,0.48095238095238096,0.5190476190476191
250010605000004,25,38,36,26,16,18,14,1,0,0,0,0,0,24,14,5,3,0,0,11,9,5,3,1,9,6,9,4,1,1,0,1,2,2,0,0,0,0,220,64,0.22535211267605634,0.7746478873239436
250010605000005,24,28,17,10,5,6,12,1,0,0,0,0,0,23,14,5,0,0,0,17,32,12,11,6,6,13,14,13,3,0,0,1,3,2,0,0,0,0,145,133,0.4784172661870504,0.5215827338129496
250010605000006,7,15,18,8,4,11,6,1,0,0,0,0,0,6,11,4,1,1,0,18,22,21,11,8,3,5,15,9,5,2,0,0,3,4,0,0,0,0,93,126,0.5753424657534246,0.4246575342465753
250010605000007,14,20,20,2,5,4,2,0,0,0,0,0,0,14,10,6,0,0,0,5,7,9,4,0,3,3,3,4,0,0,0,1,2,0,1,0,0,0,97,42,0.302158273381295,0.697841726618705
250010605000008,11,27,22,17,7,13,4,0,0,0,0,0,0,11,11,8,1,0,0,5,4,10,4,3,2,2,4,2,2,0,0,0,1,0,0,0,0,0,132,39,0.22807017543859648,0.7719298245614035
250010605000009,20,23,25,23,18,23,5,1,0,0,0,0,0,19,12,6,1,0,0,7,8,8,6,2,6,7,6,5,1,1,1,1,1,0,2,0,0,0,176,62,0.2605042016806723,0.7394957983193278
250010605000010,18,27,31,13,9,13,3,0,1,0,0,0,0,18,8,2,0,0,0,1,2,5,12,0,3,7,1,0,2,2,0,0,0,1,0,0,0,0,143,36,0.2011173184357542,0.7988826815642458
250010605000011,46,59,48,31,8,10,11,2,0,0,0,0,0,44,24,7,4,0,0,28,25,27,19,4,3,11,18,8,5,1,0,0,10,1,0,0,0,0,294,160,0.3524229074889868,0.6475770925110133
250010605000012,5,13,10,5,2,1,0,0,0,0,0,0,0,5,6,2,1,0,0,5,2,3,1,1,0,1,2,1,0,0,0,0,3,0,0,0,0,0,50,19,0.2753623188405797,0.7246376811594203
250010605000013,2,5,6,0,4,4,3,0,0,0,0,0,0,2,1,2,0,0,0,2,3,2,1,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,29,18,0.3829787234042553,0.6170212765957447
250010605000014,20,17,19,12,8,20,4,0,0,0,0,0,0,20,5,1,1,0,0,4,3,6,5,6,9,5,2,3,1,0,0,2,2,0,0,1,0,0,127,49,0.2784090909090909,0.7215909090909091
250020505000001,32,52,51,26,11,8,13,1,0,0,0,0,0,31,23,15,3,0,0,32,36,13,8,5,0,26,17,16,2,2,0,0,15,5,1,0,0,0,266,178,0.4009009009009009,0.5990990990990991
250020505000002,35,45,39,11,5,2,16,1,1,0,0,0,0,34,20,6,0,0,0,23,18,13,4,4,0,21,16,6,1,0,0,0,7,4,3,0,0,0,215,120,0.3582089552238806,0.6417910447761194
250020505000003,14,21,28,8,3,2,4,0,0,0,0,0,0,14,12,6,1,0,0,5,5,4,3,1,0,3,3,2,0,0,0,0,2,0,1,0,0,0,113,29,0.20422535211267606,0.795774647887324
250020505000004,18,19,21,6,2,6,4,1,0,0,0,0,0,17,5,2,1,0,0,2,0,1,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,102,11,0.09734513274336283,0.9026548672566371
