Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012
120040105000001,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,338,1060,3.14,3.48,1377.25,3068393.96,1432.34,3112357.55,840.2,1710475.13,1215.9,2019007.41
120040105000002,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,118,371,3.14,3.24,1551.14,7124575.39,1679.22,7501230.64,819.95,3621502.57,1375.69,5320984.01
120040105000003,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,80,293,3.66,2.73,1171.36,8086549.32,1802.1,11367293.66,800.38,2916410.82,1290.02,4075741.14
120040105000004,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,48,166,3.46,4.89,2994.58,36023293.44,3782.63,42697857.75,1646.4,20488646.97,2645.34,30388668.07
120040105000005,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,267,931,3.49,3.35,1526.48,3361333.06,1630.28,3420917.17,942.76,1993183.73,1308.13,2288199.46
120040105000006,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,259,821,3.17,3.81,945.86,4017440.44,1282.61,5021071.14,621.97,1879052.28,1162.67,2886607.39
120040105000007,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,316,1138,3.6,3.36,709.7,851616.32,1088.67,893998.26,549.13,813165.5,1046.7,1029623.3
120040105000008,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,0,360,1204,3.34,2.71,592.23,569265.59,907.24,586346.99,434.5,400764.82,821.76,439798.82
120040105000009,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,1,238,832,3.5,3.75,362.27,287777.06,776.76,295145.64,293.13,201100.54,672.53,206247.68
120040105000010,1,Região Norte,12,Acre,1202,Vale do Acre,12004,Rio Branco,00,Municípios não pertencentes a estrutura de RM,1200401,RIO BRANCO,120040105,RIO BRANCO,12004010500,RIO BRANCO,1200401000,RIO BRANCO (todos os setores),1,1,123,466,3.79,3.58,353.25,816307.37,775.89,1476831.92,347.44,625159.54,822.65,1092304
